LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-05-11 00:12:59,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:12:59,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:12:59,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:12:59,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:12:59,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:00,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-33, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-38, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-37, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:01,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:01,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-32, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-36, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-30, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:02,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-66,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:02,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:03,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:03,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:03,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:03,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-11 00:13:03,1900-01-00 00:00:00,,48:43:7C:BD:61:DE,-67,,0.000000,0.000000,0.000,0.000,Client
2025-05-11 00:13:03,1900-01-00 00:00:00,4G_WIFI_GLISH,98:A9:42:44:84:F8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
